
     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
         6   2  1.896836E+07  2.678033E+07 -9.748708E+07 -1.162086E+07 -1.519717E+08 -3.240746E+06
         6   3 -5.313012E+07 -2.542603E+07 -3.717186E+08 -9.939919E+06 -5.536793E+07 -1.036274E+07
         6   4  3.651404E+07  2.016091E+07  1.732916E+07 -4.155084E+06 -2.182183E+08 -1.998486E+07
         6   5  4.659723E+06  7.915305E+06 -1.620206E+08 -2.338000E+06 -1.319054E+08 -2.108149E+07
         6   6 -7.012774E+07 -4.650901E+07 -4.423021E+08 -6.011480E+05 -3.989227E+07 -3.029918E+07
         6   7  3.507454E+07  1.433662E+07 -1.525859E+07  5.227156E+06 -2.064000E+08 -3.424120E+07
         6   8  1.398851E+06  7.406687E+05 -1.986339E+08  7.100146E+06 -1.253214E+08 -3.804331E+07
         6   9 -7.173357E+07 -5.155758E+07 -4.748293E+08  8.892905E+06 -3.835538E+07 -4.945034E+07
         6  10 -6.073431E+06  1.217858E+07  4.900016E+07 -9.914849E+06 -7.748875E+07  6.057997E+05
         6  11 -2.882253E+06  2.820105E+07 -1.380542E+08 -8.905905E+06 -4.427176E+07  7.674988E+05
         6  12 -4.455223E+07  2.181349E+06 -4.326035E+08 -7.602779E+06 -5.541733E+06 -3.072780E+06
         6  13 -5.923239E+06  6.217507E+06 -2.491263E+06 -2.712310E+06 -6.789077E+07 -5.633048E+06
         6  14 -7.436158E+06  1.688350E+07 -2.024190E+08 -1.528145E+06 -3.597786E+07 -6.052321E+06
         6  15 -5.033382E+07 -1.101628E+07 -5.017301E+08 -4.979853E+04  1.635310E+06 -9.957438E+06
         6  16 -2.264641E+06  6.233373E+06 -3.756798E+07  4.458218E+06 -6.552657E+07 -1.089932E+07
         6  17 -4.137636E+06  1.588690E+07 -2.402331E+08  5.817602E+06 -3.537421E+07 -1.199321E+07
         6  18 -4.391896E+07 -9.548933E+06 -5.341699E+08  7.471169E+06  6.656177E+05 -1.605681E+07
         6  19 -2.782623E+07 -4.827916E+06  4.023659E+07  2.255682E+06  5.939073E+07  1.528752E+06
         6  20 -7.038466E+06  7.440069E+06 -1.799674E+08  1.894292E+05  3.473402E+07  9.126664E+05
         6  21 -2.956346E+07 -1.872119E+07 -5.061181E+08 -1.208227E+06  1.559036E+07  9.298188E+05
         6  22 -2.751297E+07 -7.063842E+06 -1.585881E+07 -8.854151E+04  5.431835E+07  4.279974E+06
         6  23 -9.968011E+06  1.855363E+05 -2.476481E+08 -1.860261E+06  3.183130E+07  5.113774E+06
         6  24 -3.225939E+07 -2.751792E+07 -5.772723E+08 -2.963384E+06  1.504451E+07  7.096945E+06
         6  25 -2.688665E+07 -4.692265E+06 -5.690892E+07 -2.652072E+06  4.780421E+07  8.003776E+06
         6  26 -8.240470E+06  1.882529E+06 -2.901474E+08 -4.129258E+06  2.703035E+07  1.019381E+07
         6  27 -2.595421E+07 -2.301910E+07 -6.131091E+08 -4.937848E+06  1.214395E+07  1.404936E+07
         7   1  7.173357E+07  5.155758E+07  4.748293E+08 -8.892905E+06 -3.835538E+07 -4.945034E+07
         7   2 -1.398851E+06 -7.406687E+05  1.986339E+08 -7.100146E+06 -1.253214E+08 -3.804331E+07
         7   3 -3.507454E+07 -1.433662E+07  1.525859E+07 -5.227156E+06 -2.064000E+08 -3.424120E+07
         7   4  7.012774E+07  4.650901E+07  4.423021E+08  6.011480E+05 -3.989227E+07 -3.029918E+07
         7   5 -4.659723E+06 -7.915305E+06  1.620206E+08  2.338000E+06 -1.319054E+08 -2.108149E+07
         7   6 -3.651404E+07 -2.016091E+07 -1.732916E+07  4.155084E+06 -2.182183E+08 -1.998486E+07
         7   7  5.313012E+07  2.542603E+07  3.717186E+08  9.939919E+06 -5.536793E+07 -1.036274E+07
         7   8 -1.896836E+07 -2.678033E+07  9.748708E+07  1.162086E+07 -1.519717E+08 -3.240746E+06
         7   9 -4.465729E+07 -3.333157E+07 -6.770106E+07  1.338204E+07 -2.430623E+08 -4.755948E+06
         7  10  4.391896E+07  9.548933E+06  5.341699E+08 -7.471169E+06  6.656177E+05 -1.605681E+07
         7  11  4.137636E+06 -1.588690E+07  2.402331E+08 -5.817602E+06 -3.537421E+07 -1.199321E+07
         7  12  2.264641E+06 -6.233373E+06  3.756798E+07 -4.458218E+06 -6.552657E+07 -1.089932E+07
         7  13  5.033382E+07  1.101628E+07  5.017301E+08  4.979853E+04  1.635310E+06 -9.957438E+06
         7  14  7.436158E+06 -1.688350E+07  2.024190E+08  1.528145E+06 -3.597786E+07 -6.052321E+06
         7  15  5.923239E+06 -6.217507E+06  2.491263E+06  2.712310E+06 -6.789077E+07 -5.633048E+06
         7  16  4.455223E+07 -2.181349E+06  4.326035E+08  7.602779E+06 -5.541733E+06 -3.072780E+06
         7  17  2.882253E+06 -2.820105E+07  1.380542E+08  8.905905E+06 -4.427176E+07  7.674988E+05
         7  18  6.073431E+06 -1.217858E+07 -4.900016E+07  9.914849E+06 -7.748875E+07  6.057997E+05
         7  19  2.595421E+07  2.301910E+07  6.131091E+08  4.937848E+06  1.214395E+07  1.404936E+07
         7  20  8.240470E+06 -1.882529E+06  2.901474E+08  4.129258E+06  2.703035E+07  1.019381E+07
         7  21  2.688665E+07  4.692265E+06  5.690892E+07  2.652072E+06  4.780421E+07  8.003776E+06
         7  22  3.225939E+07  2.751792E+07  5.772723E+08  2.963384E+06  1.504451E+07  7.096945E+06
         7  23  9.968011E+06 -1.855363E+05  2.476481E+08  1.860261E+06  3.183130E+07  5.113774E+06
         7  24  2.751297E+07  7.063842E+06  1.585881E+07  8.854151E+04  5.431835E+07  4.279974E+06
         7  25  2.956346E+07  1.872119E+07  5.061181E+08  1.208227E+06  1.559036E+07  9.298188E+05
         7  26  7.038466E+06 -7.440069E+06  1.799674E+08 -1.894292E+05  3.473402E+07  9.126664E+05
         7  27  2.782623E+07  4.827916E+06 -4.023659E+07 -2.255682E+06  5.939073E+07  1.528752E+06
         8   1  4.208394E+07  2.731983E+07 -2.143248E+07 -7.342153E+06 -2.065694E+08 -3.524783E+07
         8   2  8.462897E+06  1.343010E+07 -2.042080E+08 -6.074854E+06 -1.257033E+08 -3.531728E+07
         8   3 -6.436998E+07 -3.909563E+07 -4.790536E+08 -4.776428E+06 -3.894346E+07 -3.184996E+07
         8   4  3.889851E+07  2.182032E+07 -5.045575E+07  1.938169E+06 -2.177596E+08 -2.225426E+07
         8   5  7.672664E+06  9.990436E+06 -2.275769E+08  3.283995E+06 -1.322911E+08 -2.337401E+07
         8   6 -6.493952E+07 -4.264994E+07 -5.018420E+08  4.660948E+06 -4.109469E+07 -2.056888E+07
         8   7  2.940336E+07  1.042987E+07 -9.280576E+07  1.108195E+07 -2.401008E+08 -8.250880E+06
         8   8  3.965874E+06  4.052998E+06 -2.563552E+08  1.250630E+07 -1.503344E+08 -1.038667E+07
         8   9 -6.503245E+07 -4.530887E+07 -5.221224E+08  1.396178E+07 -5.500560E+07 -8.209460E+06
         8  10 -2.377540E+05  5.812303E+06 -5.276862E+07 -6.262090E+06 -6.557042E+07 -1.115995E+07
         8  11 -2.225397E+06  1.476130E+07 -2.550961E+08 -5.217257E+06 -3.548478E+07 -1.082113E+07
         8  12 -4.226052E+07 -1.220889E+07 -5.483293E+08 -4.472664E+06  4.945957E+05 -9.844872E+06
         8  13 -7.661652E+05  5.146820E+06 -8.583871E+07  8.555092E+05 -6.769355E+07 -6.290165E+06
         8  14 -2.022092E+06  1.529199E+07 -2.843212E+08  2.146459E+06 -3.597840E+07 -6.055526E+06
         8  15 -4.350000E+07 -1.265652E+07 -5.787833E+08  3.137169E+06  1.464797E+06 -4.795339E+06
         8  16 -9.734549E+06 -2.322568E+06 -1.331485E+08  7.905099E+06 -7.644349E+07 -4.105743E+05
         8  17 -6.865599E+06  1.241194E+07 -3.198687E+08  9.442166E+06 -4.340315E+07 -2.458538E+05
         8  18 -4.639313E+07 -1.312173E+07 -6.076423E+08  1.067899E+07 -4.800466E+06  1.332531E+06
         8  19 -3.007866E+07 -1.427764E+07 -7.993525E+07  3.725146E+06  4.781810E+07  8.086282E+06
         8  20 -1.116719E+07 -7.536597E+06 -3.125490E+08  4.400567E+06  2.712329E+07  8.024718E+06
         8  21 -2.913886E+07 -3.399792E+07 -6.349041E+08  4.444381E+06  1.232220E+07  5.701251E+06
         8  22 -2.846436E+07 -1.032951E+07 -1.172726E+08  1.523828E+06  5.395336E+07  4.832284E+06
         8  23 -1.048466E+07 -3.255969E+06 -3.478507E+08  2.612955E+06  3.191525E+07  5.612653E+06
         8  24 -3.156259E+07 -3.155929E+07 -6.732441E+08  3.070476E+06  1.560517E+07  4.519235E+06
         8  25 -3.742030E+07 -1.409825E+07 -1.697626E+08 -6.769649E+05  5.798602E+07  2.588089E+06
         8  26 -1.697920E+07 -3.299051E+06 -3.903878E+08  8.258690E+05  3.430028E+07  4.244657E+06
         8  27 -3.777023E+07 -3.005122E+07 -7.109021E+08  1.697097E+06  1.617689E+07  4.415555E+06
         9   1 -1.718120E+07 -1.397717E+07  5.220129E+08  9.106728E+05  6.252752E+07 -2.691821E+06
         9   2  2.626900E+06 -4.801543E+06  3.204451E+08  1.606963E+06  1.241061E+08  4.167563E+06
         9   3  3.137977E+07  9.795900E+06  1.432714E+08  2.925270E+06  1.762475E+08  8.463812E+06
         9   4 -1.913354E+07 -8.114971E+06  4.975574E+08 -2.767855E+06  5.054528E+07  1.052442E+07
         9   5  5.837407E+05 -3.131845E+05  2.916699E+08 -2.466761E+06  1.088843E+08  1.521031E+07
         9   6  2.847812E+07  1.214274E+07  1.083852E+08 -1.543650E+06  1.576041E+08  1.785677E+07
         9   7 -1.672196E+07 -6.214136E+05  4.741758E+08 -6.465876E+06  5.194675E+07  2.207865E+07
         9   8  3.808836E+06  6.710867E+06  2.660787E+08 -6.559978E+06  1.066382E+08  2.459273E+07
         9   9  3.174906E+07  1.792962E+07  7.879317E+07 -6.032063E+06  1.515282E+08  2.559107E+07
         9  10  1.580671E+06 -2.914137E+06  2.218926E+08 -1.288628E+06  3.542617E+07 -6.632273E+06
         9  11  5.391381E+05 -4.759929E+06  1.254239E+08 -8.533073E+05  1.133575E+08  2.410354E+05
         9  12  1.001347E+07  2.481990E+06  5.492044E+07 -1.602921E+05  1.818517E+08  3.527647E+06
         9  13 -3.918489E+03 -1.581595E+06  2.107787E+08 -1.010447E+06  2.042962E+07  9.081708E+06
         9  14 -9.823483E+05 -3.911958E+06  1.127716E+08 -7.391208E+05  9.400472E+07  1.370444E+07
         9  15  7.787416E+06  2.077719E+06  3.893839E+07 -2.101002E+05  1.579606E+08  1.526418E+07
         9  16 -8.128526E+04  1.580036E+05  1.995144E+08 -7.484088E+05  2.002255E+07  2.313368E+07
         9  17 -9.227337E+04 -1.752591E+06  1.020789E+08 -6.410770E+05  8.883334E+07  2.550751E+07
         9  18  8.877262E+06  3.889183E+06  2.702621E+07 -2.760510E+05  1.478427E+08  2.534204E+07
         9  19  3.583230E+07  3.224543E+07 -6.635180E+07 -1.164483E+06  9.652517E+07  6.504877E+05
         9  20  1.009252E+07  1.039813E+07 -6.156997E+07 -1.176425E+06  1.908093E+08  9.436424E+06
         9  21 -3.560291E+06  1.304444E+06 -2.925186E+07 -1.294995E+06  2.756563E+08  1.361210E+07
         9  22  3.396343E+07  2.876887E+07 -6.440359E+07  5.046690E+05  8.041300E+07  1.886221E+07
         9  23  8.440681E+06  7.326274E+06 -5.837892E+07  5.599342E+05  1.692242E+08  2.532048E+07
         9  24 -5.762772E+06 -2.130382E+06 -2.660920E+07  5.085712E+05  2.484161E+08  2.769220E+07
         9  25  3.074509E+07  2.447507E+07 -6.383005E+07  2.161029E+06  8.009610E+07  3.541191E+07
         9  26  6.343709E+06  4.341515E+06 -5.445240E+07  2.283501E+06  1.630262E+08  3.954421E+07
         9  27 -7.506046E+06 -4.573770E+06 -2.112095E+07  2.299345E+06  2.361550E+08  4.011364E+07
        10   1 -3.342372E+07 -1.615826E+07  1.260500E+07  5.335137E+06  1.788721E+08  9.034160E+06
        10   2 -5.590526E+06 -1.545340E+06 -1.667960E+08  2.659231E+06  1.276936E+08  1.309540E+07
        10   3  1.334163E+07  8.841195E+06 -3.716407E+08  6.483423E+05  6.710375E+07  2.450446E+07
        10   4 -2.781351E+07 -1.153124E+07 -2.254800E+07  6.383711E+05  1.582714E+08  1.803562E+07
        10   5 -7.262279E+05  5.336087E+05 -2.076508E+08 -1.756180E+06  1.099619E+08  2.161423E+07
        10   6  1.858563E+07  9.497691E+06 -4.155709E+08 -3.485714E+06  5.204754E+07  3.184510E+07
        10   7 -2.738957E+07 -7.978553E+06 -5.609583E+07 -4.294453E+06  1.514956E+08  2.539778E+07
        10   8  1.747090E+05  2.761143E+06 -2.440470E+08 -6.407649E+06  1.066683E+08  2.855863E+07
        10   9  2.108918E+07  1.152569E+07 -4.521889E+08 -7.855828E+06  5.204272E+07  3.767617E+07
        10  10 -1.054231E+07 -2.654786E+06  1.097868E+07  8.957018E+04  1.844375E+08  3.201375E+06
        10  11 -1.118327E+06  5.035968E+06 -5.973231E+07 -5.530779E+05  1.168183E+08  6.820506E+06
        10  12 -2.682070E+06  3.631415E+06 -1.579737E+08 -9.174231E+05  3.978774E+07  1.928828E+07
        10  13 -8.848239E+06 -2.230761E+06 -5.853628E+06 -3.138586E+02  1.583318E+08  1.461278E+07
        10  14 -3.152693E+05  3.799711E+06 -8.028633E+07 -5.262080E+05  9.473669E+07  1.805447E+07
        10  15 -1.644406E+06  1.860491E+06 -1.796230E+08 -7.737993E+05  2.153672E+07  2.964924E+07
        10  16 -8.047628E+06 -1.041286E+06 -1.924098E+07 -1.965311E+05  1.476816E+08  2.438488E+07
        10  17  8.172474E+05  4.551820E+06 -9.454192E+07 -6.056713E+05  8.872373E+07  2.771400E+07
        10  18  9.456340E+05  3.300851E+06 -1.921204E+08 -7.365087E+05  1.996765E+07  3.850062E+07
        10  19  1.224446E+07  9.267782E+06  8.849702E+06 -2.118914E+06  2.794563E+08  1.333508E+07
        10  20 -7.168861E+05  7.587765E+05  4.285259E+07 -1.419771E+06  1.953964E+08  1.786386E+07
        10  21 -2.675264E+07 -2.171446E+07  4.723835E+07 -8.290396E+05  1.019251E+08  3.274210E+07
        10  22  7.602251E+06  4.451613E+06  9.300884E+06 -2.526579E+05  2.491974E+08  2.715643E+07
        10  23 -6.395203E+06 -4.829887E+06  4.156215E+07  3.986383E+05  1.703166E+08  3.181296E+07
        10  24 -3.234144E+07 -2.695000E+07  4.683275E+07  9.415225E+05  8.183105E+07  4.612338E+07
        10  25  6.359401E+06  2.240675E+06  1.503680E+07  1.636991E+06  2.360245E+08  3.933848E+07
        10  26 -7.451240E+06 -6.590404E+06  4.840993E+07  2.240440E+06  1.629361E+08  4.418761E+07
        10  27 -3.208505E+07 -2.713448E+07  5.741882E+07  2.735477E+06  8.004949E+07  5.799509E+07
        11   1 -2.108918E+07 -1.152569E+07  4.521889E+08  7.855828E+06  5.204272E+07  3.767617E+07
        11   2 -1.747090E+05 -2.761143E+06  2.440470E+08  6.407649E+06  1.066683E+08  2.855863E+07
        11   3  2.738957E+07  7.978553E+06  5.609583E+07  4.294453E+06  1.514956E+08  2.539778E+07
        11   4 -1.858563E+07 -9.497691E+06  4.155709E+08  3.485714E+06  5.204754E+07  3.184510E+07
        11   5  7.262279E+05 -5.336087E+05  2.076508E+08  1.756180E+06  1.099619E+08  2.161423E+07
        11   6  2.781351E+07  1.153124E+07  2.254800E+07 -6.383711E+05  1.582714E+08  1.803562E+07
        11   7 -1.334163E+07 -8.841195E+06  3.716407E+08 -6.483423E+05  6.710375E+07  2.450446E+07
        11   8  5.590526E+06  1.545340E+06  1.667960E+08 -2.659231E+06  1.276936E+08  1.309540E+07
        11   9  3.342372E+07  1.615826E+07 -1.260500E+07 -5.335137E+06  1.788721E+08  9.034160E+06
        11  10 -9.456340E+05 -3.300851E+06  1.921204E+08  7.365087E+05  1.996765E+07  3.850062E+07
        11  11 -8.172474E+05 -4.551820E+06  9.454192E+07  6.056713E+05  8.872373E+07  2.771400E+07
        11  12  8.047628E+06  1.041286E+06  1.924098E+07  1.965311E+05  1.476816E+08  2.438488E+07
        11  13  1.644406E+06 -1.860491E+06  1.796230E+08  7.737993E+05  2.153672E+07  2.964924E+07
        11  14  3.152693E+05 -3.799711E+06  8.028633E+07  5.262080E+05  9.473669E+07  1.805447E+07
        11  15  8.848239E+06  2.230761E+06  5.853628E+06  3.138586E+02  1.583318E+08  1.461278E+07
        11  16  2.682070E+06 -3.631415E+06  1.579737E+08  9.174231E+05  3.978774E+07  1.928828E+07
        11  17  1.118327E+06 -5.035968E+06  5.973231E+07  5.530779E+05  1.168183E+08  6.820506E+06
        11  18  1.054231E+07  2.654786E+06 -1.097868E+07 -8.957018E+04  1.844375E+08  3.201375E+06
        11  19  3.208505E+07  2.713448E+07 -5.741882E+07 -2.735477E+06  8.004949E+07  5.799509E+07
        11  20  7.451240E+06  6.590404E+06 -4.840993E+07 -2.240440E+06  1.629361E+08  4.418761E+07
        11  21 -6.359401E+06 -2.240675E+06 -1.503680E+07 -1.636991E+06  2.360245E+08  3.933848E+07
        11  22  3.234144E+07  2.695000E+07 -4.683275E+07 -9.415225E+05  8.183105E+07  4.612338E+07
        11  23  6.395203E+06  4.829887E+06 -4.156215E+07 -3.986383E+05  1.703166E+08  3.181296E+07
        11  24 -7.602251E+06 -4.451613E+06 -9.300884E+06  2.526579E+05  2.491974E+08  2.715643E+07
        11  25  2.675264E+07  2.171446E+07 -4.723835E+07  8.290396E+05  1.019251E+08  3.274210E+07
        11  26  7.168861E+05 -7.587765E+05 -4.285259E+07  1.419771E+06  1.953964E+08  1.786386E+07
        11  27 -1.224446E+07 -9.267782E+06 -8.849702E+06  2.118914E+06  2.794563E+08  1.333508E+07
        12   1 -3.174906E+07 -1.792962E+07 -7.879317E+07  6.032063E+06  1.515282E+08  2.559107E+07
        12   2 -3.808836E+06 -6.710867E+06 -2.660787E+08  6.559978E+06  1.066382E+08  2.459273E+07
        12   3  1.672196E+07  6.214136E+05 -4.741758E+08  6.465876E+06  5.194675E+07  2.207865E+07
        12   4 -2.847812E+07 -1.214274E+07 -1.083852E+08  1.543650E+06  1.576041E+08  1.785677E+07
        12   5 -5.837407E+05  3.131845E+05 -2.916699E+08  2.466761E+06  1.088843E+08  1.521031E+07
        12   6  1.913354E+07  8.114971E+06 -4.975574E+08  2.767855E+06  5.054528E+07  1.052442E+07
        12   7 -3.137977E+07 -9.795900E+06 -1.432714E+08 -2.925270E+06  1.762475E+08  8.463812E+06
        12   8 -2.626900E+06  4.801543E+06 -3.204451E+08 -1.606963E+06  1.241061E+08  4.167563E+06
        12   9  1.718120E+07  1.397717E+07 -5.220129E+08 -9.106728E+05  6.252752E+07 -2.691821E+06
        12  10 -8.877262E+06 -3.889183E+06 -2.702621E+07  2.760510E+05  1.478427E+08  2.534204E+07
        12  11  9.227337E+04  1.752591E+06 -1.020789E+08  6.410770E+05  8.883334E+07  2.550751E+07
        12  12  8.128526E+04 -1.580036E+05 -1.995144E+08  7.484088E+05  2.002255E+07  2.313368E+07
        12  13 -7.787416E+06 -2.077719E+06 -3.893839E+07  2.101002E+05  1.579606E+08  1.526418E+07
        12  14  9.823483E+05  3.911958E+06 -1.127716E+08  7.391208E+05  9.400472E+07  1.370444E+07
        12  15  3.918489E+03  1.581595E+06 -2.107787E+08  1.010447E+06  2.042962E+07  9.081708E+06
        12  16 -1.001347E+07 -2.481990E+06 -5.492044E+07  1.602921E+05  1.818517E+08  3.527647E+06
        12  17 -5.391381E+05  4.759929E+06 -1.254239E+08  8.533073E+05  1.133575E+08  2.410354E+05
        12  18 -1.580671E+06  2.914137E+06 -2.218926E+08  1.288628E+06  3.542617E+07 -6.632273E+06
        12  19  7.506046E+06  4.573770E+06  2.112095E+07 -2.299345E+06  2.361550E+08  4.011364E+07
        12  20 -6.343709E+06 -4.341515E+06  5.445240E+07 -2.283501E+06  1.630262E+08  3.954421E+07
        12  21 -3.074509E+07 -2.447507E+07  6.383005E+07 -2.161029E+06  8.009610E+07  3.541191E+07
        12  22  5.762772E+06  2.130382E+06  2.660920E+07 -5.085712E+05  2.484161E+08  2.769220E+07
        12  23 -8.440681E+06 -7.326274E+06  5.837892E+07 -5.599342E+05  1.692242E+08  2.532048E+07
        12  24 -3.396343E+07 -2.876887E+07  6.440359E+07 -5.046690E+05  8.041300E+07  1.886221E+07
        12  25  3.560291E+06 -1.304444E+06  2.925186E+07  1.294995E+06  2.756563E+08  1.361210E+07
        12  26 -1.009252E+07 -1.039813E+07  6.156997E+07  1.176425E+06  1.908093E+08  9.436424E+06
        12  27 -3.583230E+07 -3.224543E+07  6.635180E+07  1.164483E+06  9.652517E+07  6.504877E+05
        13   1 -4.085112E+07 -3.611501E+07 -4.344565E+08  1.344306E+06  8.009470E+07  2.125946E+06
        13   2 -1.603413E+07 -1.036970E+07 -2.364334E+08  9.261284E+05  1.630703E+08  8.829220E+06
        13   3 -1.646213E+07 -8.398735E+06 -9.878581E+07  2.542265E+05  2.411467E+08  1.144653E+07
        13   4 -3.685009E+07 -3.498648E+07 -4.103769E+08  1.182587E+06  6.775473E+07  1.676286E+07
        13   5 -1.200770E+07 -8.734718E+06 -2.105766E+08  9.148589E+05  1.454490E+08  2.215990E+07
        13   6 -1.077497E+07 -4.621967E+06 -6.733612E+07  3.934061E+05  2.181734E+08  2.363800E+07
        13   7 -3.363509E+07 -3.347424E+07 -3.842322E+08  1.007673E+06  6.634724E+07  3.055361E+07
        13   8 -1.097774E+07 -8.926462E+06 -1.878124E+08  8.903937E+05  1.386206E+08  3.464204E+07
        13   9 -1.029471E+07 -4.882355E+06 -4.413671E+07  5.193902E+05  2.058534E+08  3.497857E+07
        13  10 -1.326561E+07  1.340942E+06 -6.013814E+08  4.549066E+06  2.306244E+07 -3.939318E+06
        13  11 -6.568664E+05  1.072164E+07 -3.427669E+08  3.767037E+06  6.887715E+07  1.221980E+05
        13  12 -1.279200E+07 -2.502764E+06 -1.440268E+08  2.590110E+06  1.097926E+08  2.278196E+06
        13  13 -1.092297E+07 -1.804570E+05 -5.698095E+08  2.067952E+06  1.445016E+07  5.597338E+06
        13  14  2.073798E+06  1.034219E+07 -3.076211E+08  1.491232E+06  5.752388E+07  8.276937E+06
